name,domain,phone,address,city,state,zip,clia_number,certified_at,certificate_type,site_count,test_volume,classification_codes,segments,lab_type,cms_facility_type_code,cms_facility_type_name,russian_candidate
UNIVERSITY MEDICAL CENTER,,2053486899,850 PETER BRYCE BLVD,TUSCALOOSA,AL,35401,01D0301738,2025-05-08,Compliance,0,396101,,unspecified,PSC,06,community_clinic,False
WHIT FAMILY CLINIC FITZ-GERALD,,3342872644,203 HIGHWAY 80 WEST,DEMOPOLIS,AL,36732,01D0306179,2025-04-24,Compliance,0,10422,,unspecified,PSC,25,rural_health_clinic,False
HACKLEBURG MEDICAL CLINIC,,2059353744,34867 HWY 43,HACKLEBURG,AL,35564,01D0688168,2025-04-16,Compliance,0,4500,,unspecified,PSC,25,rural_health_clinic,False
SOUTHWEST ALABAMA HEALTH SERVICES,,2519442842,7777 HIGHWAY 43 NORTH,MCINTOSH,AL,36553,01D0692409,2026-01-20,Compliance,0,5460,,unspecified,PSC,09,fqhc,False
ARMS METRO HEALTH CENTER,,2052125600,712 25TH STREET NORTH,BIRMINGHAM,AL,35203,01D0858174,2025-07-30,Compliance,2,500,,unspecified,PSC,09,fqhc,False
ATMORE URGENT CARE,,2513686245,5850 HWY 21,ATMORE,AL,36502,01D2022549,2025-04-30,Compliance,0,1500,,unspecified,PSC,25,rural_health_clinic,False
KIDS CLINIC,,2052687775,119 STEPHEN J WHITE MEMORIAL BLVD,TALLADEGA,AL,35160,01D2148957,2025-05-23,Compliance,0,27120,,unspecified,PSC,25,rural_health_clinic,False
ACCORDIA HEALTH - ROCKFORD,,2514505901,9518 HIGHWAY 231,ROCKFORD,AL,35136,01D2177055,2025-02-28,Compliance,0,500,,unspecified,PSC,09,fqhc,False
CHRIST HEALTH PEDIATRICS,,2059460725,628 JOSEPH HOLLIS DR SUITE 300,BIRMINGHAM,AL,35212,01D2325483,2025-06-13,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
CHRIST HEALTH CENTER FOR SERVANT LEADERSHIP,,2053809455,5721 1ST AVE N,BIRMINGHAM,AL,35212,01D2326484,2025-07-03,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
ANCHORAGE NEIGHBORHOOD HEALTH CENTER,,9077437200,4951 BUSINESS PARK BLVD,ANCHORAGE,AK,99503,02D0640332,2025-08-14,Compliance,0,413854,,unspecified,PSC,09,fqhc,False
NTC ANCHOR POINT,,9075673970,33930 STERLING HIGHWAY,ANCHOR POINT,AK,99556,02D2333257,2025-11-01,Accreditation,0,0,,unspecified,PSC,06,community_clinic,False
NTC HOMER,,9072062730,4047 BARTLETT STREET,HOMER,AK,99603,02D2333258,2025-11-01,Accreditation,0,0,,unspecified,PSC,06,community_clinic,False
PHOENIX SPECIALTY HOSPITAL,,4804273000,433 E 6TH ST,MESA,AZ,85203,03D1022984,2025-04-15,Compliance,0,1500,,unspecified,PSC,03,ancillary_test_site,False
HONORHEALTH CANCER CARE,,6232387570,"20745 N SCOTTSDALE RD, STE 115",SCOTTSDALE,AZ,85255,03D2026177,2025-05-21,Compliance,0,1440,,unspecified,PSC,03,ancillary_test_site,False
CIRCLE THE CITY DOWNTOWN FAMILY HEALTH,,6027760776,220 S 12TH AVE,PHOENIX,AZ,85007,03D2144050,2025-06-11,Compliance,0,6500,,unspecified,PSC,09,fqhc,False
HONORHEALTH CANCER CARE,,6232387700,19646 N 27TH AVE STE 301,PHOENIX,AZ,85027,03D2145146,2025-04-22,Compliance,0,84000,,unspecified,PSC,03,ancillary_test_site,False
HONORHEALTH CANCER CARE,,6232387750,9250 N 3RD ST STE 3010,PHOENIX,AZ,85020,03D2145185,2025-04-22,Compliance,0,84000,,unspecified,PSC,03,ancillary_test_site,False
HONORHEALTH CANCER CARE,,6232387540,1110 S DOBSON RD STE 1,CHANDLER,AZ,85286,03D2161792,2025-02-11,Compliance,0,90000,,unspecified,PSC,03,ancillary_test_site,False
HONORHEALTH CANCER CARE,,6232387370,3645 S ROME ST STE 209,GILBERT,AZ,85297,03D2162884,2025-03-13,Compliance,0,30000,,unspecified,PSC,03,ancillary_test_site,False
HONORHEALTH COMPLETE CARE EMERGENCY,,4805877872,5316 E SHEA BLVD STE 150,SCOTTSDALE,AZ,85254,03D2284901,2025-05-13,Compliance,0,234664,,unspecified,PSC,03,ancillary_test_site,False
"CABUN RURAL HEALTH SERVICES, LLC",,8707984299,402 SOUTH LEE STREET,HAMPTON,AR,71744,04D0465611,2026-03-03,Compliance,0,438,,unspecified,PSC,09,fqhc,False
STRONG CLINIC,,8707977620,253 SOUTH CONCORD,STRONG,AR,71765,04D0465612,2025-05-21,Compliance,0,3612,,unspecified,PSC,09,fqhc,False
MELBOURNE MEDICAL CLINIC,,8703684344,1526 EAST MAIN STREET,MELBOURNE,AR,72556,04D0468315,2026-01-21,Compliance,0,1830,,unspecified,PSC,25,rural_health_clinic,False
MCGEHEE FAMILY CLINIC,,8706904230,1507 SOUTH 1ST STREET,MCGEHEE,AR,71654,04D0872195,2025-10-22,Compliance,0,40191,,unspecified,PSC,25,rural_health_clinic,False
BOSTON MOUNTAIN RURAL HEALTH CENTER,,8704485733,2263 HWY 65 NORTH,MARSHALL,AR,72650,04D0887822,2025-08-21,Compliance,2,2473,,unspecified,PSC,09,fqhc,False
HOPE FAMILY PRACTICE CENTER,,8707778420,820 S MAIN ST,HOPE,AR,71801,04D0906640,2026-03-04,Compliance,0,5460,,unspecified,PSC,09,fqhc,False
WRMC MEDICAL COMPLEX LABORATORY,,8702576045,"195 HOSPITAL DRIVE, SUITE E",CHEROKEE VILLAGE,AR,72525,04D1048934,2025-02-06,Compliance,0,198430,,unspecified,PSC,06,community_clinic,False
WHITE RIVER HEALTH FAMILY CARE,,8705122500,2200 MALCOLM AVENUE SUITE B,NEWPORT,AR,72112,04D1060221,2025-11-12,Compliance,0,57021,,unspecified,PSC,25,rural_health_clinic,False
UNITY HEALTH LAB OF PATH,,5013802404,1200 SOUTH MAIN ST,SEARCY,AR,72143,04D2122809,2025-10-09,Compliance,0,15077,,unspecified,PSC,03,ancillary_test_site,False
"HEALTHY CONNECTIONS, INC - HOT SPRINGS CENTRAL",,8887108220,"3604 CENTRAL AVENUE, SUITE D",HOT SPRINGS,AR,71913,04D2143229,2026-01-06,Compliance,0,15706,,unspecified,PSC,09,fqhc,False
SAGER CREEK PEDIATRICS CLINIC,,4795494228,"1101-2 NORTH PROGRESS AVE, FIRST FLOOR",SILOAM SPRINGS,AR,72761,04D2299349,2026-03-25,Compliance,0,2654,,unspecified,PSC,09,fqhc,False
GENTRY MEDICAL CENTER,,4797362213,643 E THIRD STREET,GENTRY,AR,72734,04D2300377,2025-01-23,Compliance,0,11500,,unspecified,PSC,09,fqhc,False
SILOAM SPRINGS MEDICAL CENTER,,4795243141,451 SOUTH HOLLY ST,SILOAM SPRINGS,AR,72761,04D2300486,2025-01-22,Compliance,0,314680,,unspecified,PSC,09,fqhc,False
HARMONY HEALTH CLINIC,,8705870800,437 COUNTRY CLUB ROAD,OSCEOLA,AR,72370,04D2307207,2025-05-20,Compliance,0,2880,,unspecified,PSC,25,rural_health_clinic,False
HARMONY HEALTH CLINIC,,5014360222,130 J F BOULEVARD,LONOKE,AR,72086,04D2313286,2025-06-25,Compliance,0,3653,,unspecified,PSC,25,rural_health_clinic,False
PARIS WELLNESS CENTER,,4792705234,2000 E WOOD ST,PARIS,AR,72855,04D2334517,2025-11-21,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
CEDARVILLE WELLNESS CENTER,,4792705242,708 PIRATES WAY,CEDARVILLE,AR,72932,04D2338217,2026-02-06,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
CEDARS-SINAI MEDICAL CARE FOUNDATION,,3102487106,"18133 VENTURA BLVD, STE 201",TARZANA,CA,91356,05D0561012,2025-09-16,Compliance,0,885799,,unspecified,PSC,03,ancillary_test_site,False
PLANNED PARENTHOOD OF CALIFORNIA,,8888983806,518 GARDEN ST,SANTA BARBARA,CA,93101,05D0584503,2025-01-22,Compliance,7,13444,,unspecified,PSC,06,community_clinic,False
FAMILY HEALTHCARE NETWORK - DELANO,,5597374700,1230 JEFFERSON ST,DELANO,CA,93215,05D0585142,2025-07-21,Compliance,0,318919,,unspecified,PSC,09,fqhc,False
NORTH EAST MEDICAL SERVICES INC,,4153919686,"2171 JUNIPERO SERRA BLVD, STE 400",DALY CITY,CA,94014,05D0596124,2026-01-06,Compliance,0,234074,,unspecified,PSC,09,fqhc,False
PLANNED PARENTHOOD MAR MONTE,,4087953695,1691 THE ALAMEDA,SAN JOSE,CA,95126,05D0607705,2025-10-03,Compliance,29,34585,,unspecified,PSC,06,community_clinic,False
AHPN VISALIA MEDICAL CLINIC LABORATORY,,5597387517,5400 W HILLSDALE AVE,VISALIA,CA,93291,05D0643470,2025-07-24,Compliance,0,855909,,unspecified,PSC,03,ancillary_test_site,False
PALO ALTO MEDICAL FOUNDATION,,4087306132,"301 OLD SAN FRANCISCO RD, LEVEL A",SUNNYVALE,CA,94086,05D0707237,2025-10-09,Compliance,0,623468,,unspecified,PSC,03,ancillary_test_site,False
ORCHARD HOSPITAL CARDIOPULMONARY,,5308469046,240 SPRUCE ST,GRIDLEY,CA,95948,05D0710557,2025-04-16,Compliance,0,522,,unspecified,PSC,03,ancillary_test_site,False
"CASTLE FAMILY HEALTH CENTERS, INC AT CASTLE",,2093812000,3605 HOSPITAL RD,ATWATER,CA,95301,05D0900020,2025-07-09,Compliance,0,370597,,unspecified,PSC,03,ancillary_test_site,False
HUBERT H HUMPHREY COMPREHENSIVE,,3238976000,5850 S MAIN ST RM 1133,LOS ANGELES,CA,90003,05D1001109,2025-12-12,Compliance,0,10000,,unspecified,PSC,06,community_clinic,False
PLANNED PARENTHOOD OF PASADENA,,6267980706,"4070 STERLING WAY, RM 102",BALDWIN PARK,CA,91706,05D1055493,2025-04-17,Compliance,0,106000,,unspecified,PSC,06,community_clinic,False
UNIVERSAL PAIN MANAGEMENT,,6612676876,819 AUTO CENTER DR,PALMDALE,CA,93551,05D1089660,2025-12-02,Compliance,0,515796,,unspecified,PSC,03,ancillary_test_site,False
PALO ALTO MEDICAL FOUNDATION,,4087306132,15400 LOS GATOS BLVD,LOS GATOS,CA,95032,05D2096854,2026-02-04,Compliance,0,1302874,,unspecified,PSC,03,ancillary_test_site,False
VENICE FAMILY CLINIC- TORRANCE SKYPARK,,3103928636,23456 HAWTHORNE BLVD,TORRANCE,CA,90505,05D2320351,2025-03-17,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
SUTTER PACIFIC MEDICAL FOUNDATION,,7075237220,240 KING STREET,SAN FRANCISCO,CA,94107,05D2321415,2025-04-03,Accreditation,0,0,,unspecified,PSC,03,ancillary_test_site,False
SAC HEALTH SYSTEM BLYTHE 110,,9093827100,126 NORTH SPRING SUITE 110,BLYTHE,CA,92225,05D2322736,2025-04-25,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
UNITED HEALTH CENTERS OF THE SAN JOAQUIN VALLEY,,5596466618,290 N WAYTE LANE,FRESNO,CA,93701,05D2328115,2025-08-05,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
JAMES WAY HEALTH CENTER,,8054737665,"2 JAMES WAY, SUITE 106",PISMO BEACH,CA,93449,05D2329806,2025-09-05,Accreditation,0,0,,unspecified,PSC,06,community_clinic,False
UNITED INDIAN HEALTH SERVICES- VALLEY EAST,,7078254175,4715 VALLEY EAST,ARCATA,CA,95521,05D2334342,2025-11-19,Accreditation,0,0,,unspecified,PSC,25,rural_health_clinic,False
UNITED INDIAN HEALTH SERVICES,,7078254175,434 7TH STREET,EUREKA,CA,95501,05D2337128,2026-01-15,Accreditation,0,0,,unspecified,PSC,25,rural_health_clinic,False
"ALTAMED MEDICAL GROUP - EAST LOS ANGELES/WHITTIER,",,8884499303,"6201 WHITTIER BLVD, STE 9",EAST LOS ANGELES,CA,90022,05D2338596,2026-02-12,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
VENICE FAMILY CLINIC-HSD HEALTH AND DIGNITY CENTER,,3103928636,13435 S YUKON AVENUE,HAWTHORNE,CA,90250,05D2340231,2026-03-13,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
CU NEUROMUSCULAR LAB,,3037244342,"12700 E 19TH AVE,  P15-5252",AURORA,CO,80045,06D0663206,2025-11-20,Compliance,0,150,,unspecified,PSC,03,ancillary_test_site,False
MIDDLE PARK HEALTH - WALDEN,,9707234255,350 MCKINLEY ST,WALDEN,CO,80480,06D0877112,2025-08-27,Compliance,0,167,,unspecified,PSC,06,community_clinic,False
GRACE HEALTH CLINIC LABORATORY,,3033434600,3191 SOUTH VAUGHN WAY,AURORA,CO,80014,06D2004180,2026-01-13,Compliance,0,1400,,unspecified,PSC,06,community_clinic,False
MIDDLE PARK HEALTH - WINTER PARK,,9708875839,"47 COOPER CREEK WAY,  STE 220",WINTER PARK,CO,80482,06D2124696,2025-08-27,Compliance,0,244,,unspecified,PSC,25,rural_health_clinic,False
CU MEDICINE INTERVENTIONAL RADIOLOGY,,7205160637,"9135 S RIDGELINE BLVD, SUITE 150",HIGHLANDS RANCH,CO,80129,06D2299496,2025-04-02,Compliance,0,1000,,unspecified,PSC,06,community_clinic,False
CU MEDICINE AT STEADMAN HAWKINS CLINIC DENVER,,7208724832,175 INVERNESS DRIVE SUITE 200,ENGLEWOOD,CO,80112,06D2309860,2025-08-11,Compliance,0,1800,,unspecified,PSC,06,community_clinic,False
CU MEDICINE FAMILY MEDICINE - CENTERFIELD,,7204622263,"8959 E 40TH AVE, SUITE 250",DENVER,CO,80238,06D2323704,2025-05-12,Accreditation,0,0,,unspecified,PSC,06,community_clinic,False
48TH AVE HEALTH CENTER,,3033129582,4600 E 48TH AVE,DENVER,CO,80216,06D2324345,2025-05-22,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
FT LYON HEALTH CENTER,,3033129582,30999 CR15,LAS ANIMAS,CO,81054,06D2324347,2025-05-22,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
HEALTH OUTREACH PROGRAM,,3033129582,2111 CHAMPA STREET,DENVER,CO,80205,06D2324348,2025-05-22,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
JOHN PARVENSKY STOUT STREET RECUPERATIVE,,3033129582,2175 CALIFORNIA ST,DENVER,CO,80205,06D2324349,2025-05-22,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
WEST END HEALTH CENTER,,3033129582,5050 W COLFAX AVE,DENVER,CO,80204,06D2324350,2025-05-22,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
UPTOWN COMMUNITY HEALTH CENTER INC,,3033182620,"1960 N OGDEN ST, SUITE 320",DENVER,CO,80218,06D2333034,2025-10-29,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
GREENWICH HOSPITAL WEST PUTNAM LABORATORY,,4752408273,500 WEST PUTNAM AVE,GREENWICH,CT,06830,07D0989347,2025-09-04,Compliance,0,11200,,unspecified,PSC,03,ancillary_test_site,False
BACKUS OUTPATIENT CARE CENTER LABORATORY,,8608922711,111 SALEM TPKE,NORWICH,CT,06360,07D1049768,2025-11-04,Compliance,0,12140,,unspecified,PSC,06,community_clinic,False
BRIDGEPORT HOSPITAL LABORATORY ANNEX,,2033730201,"5520 PARK AVE, STE 1-300A",TRUMBULL,CT,06611,07D1103993,2025-11-05,Compliance,0,60,,unspecified,PSC,03,ancillary_test_site,False
"PLANNED PARENTHOOD OF DELAWARE, WILMINGTON",,3026557296,625 NORTH SHIPLEY ST,WILMINGTON,DE,19801,08D0205759,2025-12-17,Compliance,4,1600,,unspecified,PSC,06,community_clinic,False
ST FRANCIS HOSPITAL RESP CARE DEPT,,3025758126,"701 N CLAYTON ST, RESPIRATORY THERAPY DEPT",WILMINGTON,DE,19805,08D0206020,2025-12-09,Compliance,0,10100,,unspecified,PSC,03,ancillary_test_site,False
PLANNED PARENTHOOD OF METROPOLITAN WASHINGTON DC,,2023478500,"1225 4TH STREET, NE",WASHINGTON,DC,20002,09D0209076,2025-09-10,Compliance,0,1000,,unspecified,PSC,06,community_clinic,False
GEORGE WASHINGTON UNIVERSITY MEDICAL FACULTY ASSOC,,2027412600,"2150 PENNSYLVANIA AVENUE, NW 2-121 MOHS LAB",WASHINGTON,DC,20037,09D0645021,2025-08-04,Compliance,0,250,,unspecified,PSC,03,ancillary_test_site,False
UNIVERSITY OF MIAMI DIABETES RESEARCH,,3052435314,1450 NW 10TH AVENUE ROOM 3033,MIAMI,FL,33136,10D0671907,2025-08-14,Compliance,0,450,,unspecified,PSC,03,ancillary_test_site,False
UNIVERSITY OF MIAMI HOSPITAL AND CLINICS -,,3052435426,8170 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,10D0998636,2025-08-18,Compliance,0,104570,,unspecified,PSC,06,community_clinic,False
UNIVERSITY OF MIAMI HOSPITAL AND CLINICS -,,3052435426,1192 E NEWPORT CENTER DR SUITE 100,DEERFIELD BEACH,FL,33442,10D1025302,2025-11-24,Compliance,0,523600,,unspecified,PSC,06,community_clinic,False
UNIVERSITY OF MIAMI HOSPITAL AND CLINICS -,,3052435426,8100 SW 10TH STREET CROSSROAD BUSINESS PARK BLG 3,PLANTATION,FL,33324,10D2036991,2025-10-14,Compliance,0,104570,,unspecified,PSC,06,community_clinic,False
DH MEDICAL LLC,,3862955626,735 DUNLAWTON AVE,PORT ORANGE,FL,32127,10D2278862,2025-10-03,Compliance,0,2000,,unspecified,PSC,03,ancillary_test_site,False
ADVANCED SPECIALTY INSTITUTE,,9417764000,6015 POINTE WEST BLVD,BRADENTON,FL,34209,10D2316995,2025-01-16,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
HER HEALTH GYNECOLOGY LLC,,9413244966,6600 UNIVERSITY PKWY SUITE 305,LAKEWOOD RANCH,FL,34240,10D2317536,2025-01-27,Accreditation,0,0,,unspecified,PSC,06,community_clinic,False
EVARA HEALTH,,7278248181,1411 ULMERTON RD,LARGO,FL,33778,10D2319295,2025-02-26,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
COASTAL COMMUNITY HEALTH SERVICES INC,,9122892006,1605 KINGSLEY AVE,ORANGE PARK,FL,32073,10D2321274,2025-04-01,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
EVARA HEALTH,,7275037903,6450 38TH STREET N STE 400,SAINT PETERSBURG,FL,33710,10D2328876,2025-08-19,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
EVARA THERAPEUTICS INC,,7275037903,26286 US HWY 19 N SUITE B-100,CLEARWATER,FL,33761,10D2332595,2025-10-22,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
LOWNDES COUNTY HEALTH DEPARTMENT,,2293335259,206 SOUTH PATTERSON STREET,VALDOSTA,GA,31601,11D0674486,2025-02-18,Compliance,12,50,,unspecified,PSC,06,community_clinic,False
MEDICAL SPECIALISTS INC,,7065545147,305 JONES AVENUE,WAYNESBORO,GA,30830,11D0868280,2025-10-17,Compliance,0,97967,,unspecified,PSC,25,rural_health_clinic,False
ATRIUM HEALTH NAVICENT URGENT CARE NORTHWEST,,4787577865,5925 ZEBULON ROAD,MACON,GA,31210,11D0933828,2025-01-09,Compliance,0,13333,,unspecified,PSC,06,community_clinic,False
PIEDMONT WEST INFUSION CENTER,,4044257988,"1800 HOWELL MILL ROAD, SUITE 750",ATLANTA,GA,30318,11D2046408,2025-10-07,Compliance,0,2600,,unspecified,PSC,03,ancillary_test_site,False
MEDICAL ASSOCIATES PLUS,,7065951090,2508 UNIVERSITY DIRVE,THOMSON,GA,30824,11D2124233,2026-02-17,Compliance,0,178190,,unspecified,PSC,09,fqhc,False
COASTAL COMMUNITY HEALTH,,9125745086,1107 E 66TH ST,SAVANNAH,GA,31404,11D2319558,2025-03-04,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
COASTAL COMMUNITY HEALTH,,9122892006,10804 US-82,NAHUNTA,GA,31553,11D2320553,2025-03-20,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
COASTAL COMMUNITY HEALTH,,9122892006,5772 WATERS AVENUE,SAVANNAH,GA,31404,11D2320658,2025-03-21,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
COASTAL COMMUNITY HEALTH - SHOPPERS WAY,,9122892006,106 SHOPPERS WAY  SUITE 101,BRUNSWICK,GA,31525,11D2332231,2025-10-16,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
"TSPMG, INC FISCHER CROSSINGS MEDICAL CENTER",,7708709939,100 FISCHER CROSSINGS DRIVE,SHARPSBURG,GA,30277,11D2332242,2025-10-16,Accreditation,0,0,,unspecified,PSC,03,ancillary_test_site,False
COASTAL COMMUNITY HEALTH- COUNTY CLINIC,,9122758028,2747 FOURTH STREET,BRUNSWICK,GA,31520,11D2340192,2026-03-13,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
STRAUB BENIOFF MED CTR MILILANI CLINIC & URG CARE,,8085224000,"95-1249 MEHEULA PARKWAY, BUILDING M",MILILANI,HI,96789,12D2327720,2025-07-28,Accreditation,0,0,,unspecified,PSC,06,community_clinic,False
MARIMN HEALTH,,2086861931,427 N 12TH ST,PLUMMER,ID,83851,13D0669093,2025-12-09,Compliance,0,95400,,unspecified,PSC,25,rural_health_clinic,False
BLACKFOOT MEDICAL CENTER,,2087858166,1441 PARKWAY DR,BLACKFOOT,ID,83221,13D0673165,2025-07-09,Compliance,0,276718,,unspecified,PSC,25,rural_health_clinic,False
COMMUNITY CARE REXBURG,,2083591770,404 N 2ND ST E,REXBURG,ID,83440,13D0962844,2025-07-10,Compliance,0,14490,,unspecified,PSC,25,rural_health_clinic,False
KOOTENAI HEALTH- POST FALLS,,2086254945,1300 E MULLAN AVE,POST FALLS,ID,83854,13D1081769,2025-02-24,Compliance,0,168189,,unspecified,PSC,06,community_clinic,False
GRAND PEAKS MEDICAL,,2083564900,72 S 1ST E,REXBURG,ID,83440,13D2100790,2025-04-22,Compliance,0,3459,,unspecified,PSC,09,fqhc,False
UPPER VALLEY COMMUNITY HEALTH SERVICES,,2086244100,2454 N 25TH EAST,IDAHO FALLS,ID,83401,13D2300666,2025-01-06,Compliance,0,1250,,unspecified,PSC,09,fqhc,False
ST LUKE'S CLINIC OBGYN NAMPA,,2082057700,9850 ST LUKE'S DR STE 229,NAMPA,ID,83687,13D2324983,2025-06-04,Accreditation,0,0,,unspecified,PSC,06,community_clinic,False
FULL CIRCLE HEALTH CALDWELL URGENT CARE,,2085142528,315 E ELM ST STE 100,CALDWELL,ID,83605,13D2331338,2025-09-30,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
BOLINGBROOK IMMEDIATE CARE CENTER,,6305275150,130 N WEBER ROAD,BOLINGBROOK,IL,60440,14D0893846,2025-01-15,Compliance,0,36683,,unspecified,PSC,06,community_clinic,False
ELMHURST MEMORIAL LOMBARD HEALTH CENTER,,3312211622,130 S MAIN ST,LOMBARD,IL,60148,14D1038730,2025-10-01,Compliance,0,32920,,unspecified,PSC,03,ancillary_test_site,False
OSWEGO IMMEDIATE CARE,,6305275150,6701 US HIGHWAY 34,OSWEGO,IL,60543,14D1079153,2025-03-26,Compliance,0,17603,,unspecified,PSC,06,community_clinic,False
ADDISON CENTER FOR HEALTH,,3312211622,303 W LAKE ST,ADDISON,IL,60101,14D2044259,2025-09-16,Compliance,0,25800,,unspecified,PSC,03,ancillary_test_site,False
MERCYONE GENESIS MOLINE HEALTH PLAZA,,3092816083,3900 28TH AVE DR,MOLINE,IL,61265,14D2064079,2025-06-17,Compliance,0,58690,,unspecified,PSC,03,ancillary_test_site,False
CARDIAC MANAGEMENT CENTER,,6185490721,3905 W ERNESTINE LANE,MARION,IL,62959,14D2073577,2026-01-15,Compliance,0,11392,,unspecified,PSC,06,community_clinic,False
NORTH NAPERVILLE IMMEDIATE CARE,,6305275150,1804 N. NAPER BLVD SUITE 111,NAPERVILLE,IL,60563,14D2109810,2025-10-09,Compliance,0,11202,,unspecified,PSC,06,community_clinic,False
EDWARD ELMHURST HEALTH CENTER HINSDALE 1ST,,3312211622,8 SALT CREEK LN,HINSDALE,IL,60521,14D2113550,2025-09-18,Compliance,0,7250,,unspecified,PSC,03,ancillary_test_site,False
EDWARD ELMHURST HEALTH CENTER OAK PARK 3RD,,3312211722,932 W LAKE ST,OAK PARK,IL,60301,14D2123977,2025-09-17,Compliance,0,9220,,unspecified,PSC,03,ancillary_test_site,False
SODERSTROM DERMATOLOGY CENTER S C,,3096917479,5010 NORTH GLEN PARK PLACE,PEORIA,IL,61614,14D2196441,2025-06-27,Compliance,0,35996,,unspecified,PSC,03,ancillary_test_site,False
RUSH CANCER CARE LISLE,,3129429975,2455 CORPORATE WEST DR,LISLE,IL,60532,14D2302741,2025-04-15,Compliance,0,78000,,unspecified,PSC,03,ancillary_test_site,False
PCC COMMUNITY WELLNESS CENTER,,7733783347,5461 W LAKE ST,CHICAGO,IL,60644,14D2318296,2025-02-07,Accreditation,16,0,,unspecified,PSC,09,fqhc,False
ENDEAVOR HEALTH EVANSTON HOSPITAL - OB/GYN,,8474328000,2650 RIDGE AVE - WALGREENS BLDG - STE 1507,EVANSTON,IL,60201,14D2324921,2025-06-03,Accreditation,0,0,,unspecified,PSC,03,ancillary_test_site,False
