name,city,state,zip,clia,domain
REGIONAL CANCER CARE ASSOCIATES,MONTCLAIR,NJ,07042,31D0104198,regionalcancercare.org
SUMMIT MEDICAL GROUP PA,FLORHAM PARK,NJ,07932,31D0721437,summitmedicalgroup.com
PILGRIM MEDICAL CENTER,MONTCLAIR,NJ,07042,31D0105229,pilgrimmed.com
REGIONAL CANCER CARE ASSOCIATES,FREEHOLD,NJ,07728,31D0677457,regionalcancercare.org
REGIONAL CANCER CARE ASSOCIATES,WESTWOOD,NJ,07675,31D0110609,regionalcancercare.org
"DIOSDADO NON MEDICAL SERVICES, LLC",BRICK,NJ,08723,31D0122897,ocmedlab.com
REPRODUCTIVE MEDICINE ASSOCIATES,MORRISTOWN,NJ,07960,31D0919498,rmanetwork.com
REGIONAL CANCER CARE ASSOCIATES,ROSELLE,NJ,07203,31D0680189,regionalcancercare.org
REGIONAL CANCER CARE ASSOCIATES,HOWELL,NJ,07731,31D0114368,regionalcancercare.org
DERMATOLOGY ASSOCIATES OF MORRIS PA,PARSIPPANY,NJ,07054,31D0698344,dermatologyassociatesofmorris.com
CARE STATION MEDICAL GROUP,LINDEN,NJ,07036,31D0876565,carestationmedical.com
REGIONAL CANCER CARE ASSOCIATES,BELLEVILLE,NJ,07109,31D0108387,regionalcancercare.org
ADVANCED UROLOGY ASSOCIATES ENTERPRISES,MANASQUAN,NJ,08736,31D0714191,advuro.com
CLIFFSIDE MEDICAL EMERGIMED LABORATORY,CLIFFSIDE PARK,NJ,07010,31D0677093,emergimed.com
BARNABAS HEALTH MEDICAL GROUP,OCEAN,NJ,07712,31D0925953,barnabashealthmedicalgroup.org
ARTHRITIS AND RHEUMATOLOGY ASSOCIATES,VINELAND,NJ,08360,31D0912834,drsoloway.com
GASTROENTEROLOGY ASSOCIATES,EAST HANOVER,NJ,07936,31D0941780,ganjllc.com
PRINCETON LONGEVITY MEDICAL GROUP,PRINCETON,NJ,08540,31D1041308,theplc.net
ATLANTIC DERMATOLOGY ASSOCIATES LLC,WOODLAND PARK,NJ,07424,31D1006183,atlanticdermatologyassociates.com
"SHAMRA MEDICAL LABORATORY, LLC",MIDDLETOWN,NJ,07748,31D1055495,npino.org
ATLANTICARE REGIONAL MEDICAL CENTER -,HAMMONTON,NJ,08037,31D1100091,atlanticare.org
"ATLANTIC ONCOLOGY ASSOCIATES, LLC",GALLOWAY TOWNSHIP,NJ,08205,31D0972314,atlantichemonc.com
SUMMIT MEDICAL GROUP,CLIFTON,NJ,07013,31D0957525,stage.summitmedicalgroup.com
GASTROENTEROLOGY ASSOCIATES,DENVILLE,NJ,07834,31D1105568,gastronj.com
ADVANCED DERMATOLOGY ASSOCIATES,SPARTA,NJ,07871,31D1064777,spartaderm.com
MARGARET RAVITS & ASSOCIATES,HACKENSACK,NJ,07601,31D1058391,ravitsdermatology.com
SUN WELLNESS LLC,HAMILTON,NJ,08690,31D2011573,sunwellness.info
REPRODUCTIVE MEDICINE ASSOCIATES,BASKING RIDGE,NJ,07920,31D2046030,rmanetwork.com
REPRODUCTIVE MEDICINE ASSOCIATES,FREEHOLD,NJ,07728,31D2114553,rmanetwork.com
PRINCETON MEDICAL GROUP PLAINSBORO,PLAINSBORO,NJ,08536,31D2046543,princetonmedicalgroup.com
SLEEP AND WELLNESS MEDICAL ASSOCIATES,LAWRENCEVILLE,NJ,08648,31D2037055,sleep-wellness.org
SYNERGY MEDICAL LABS,KEYPORT,NJ,07735,31D2053614,synergymedlabs.com
REGIONAL CANCER CARE ASSOCIATES - SPARTA,SPARTA,NJ,07871,31D1018141,regionalcancercare.org
REGIONAL CANCER CARE ASSOCIATES,CAPE MAY COURT HOUSE,NJ,08210,31D2059087,regionalcancercare.org
RIDGEWOOD DIAGNOSTIC LABORATORY,HACKENSACK,NJ,07601,31D2109691,ridgewoodlab.com
BIOGENICA LABORATORIES LLC,ELMWOOD PARK,NJ,07407,31D2063148,biogenicalabs.com
ESSEX GASTROENTEROLOGY ASSOCIATES,NEWARK,NJ,07105,31D2118958,hudsonmdgroup.com
"DERMATOLOGY ASSOCIATES OF SOUTH JERSEY, LLC",MOUNT LAUREL,NJ,08054,31D2027817,dermatologysouthjersey.com
REPRODUCTIVE MEDICINE ASSOCIATES,MARLTON,NJ,08053,31D2120264,rmanetwork.com
"APOLLO CLINICAL LABORATORIES, INC",UNION,NJ,07083,31D2114374,qlslabs.com
ATLANTIC MEDICAL ONCOLOGY,SPARTA,NJ,07871,31D2093926,atlantichealth.org
"VANGUARD MEDICAL, PA",DENVILLE,NJ,07834,31D2155829,vanguardmedgroup.com
REPRODUCTIVE MEDICINE ASSOCIATES,SPRINGFIELD,NJ,07081,31D2122628,rmanetwork.com
ETHEL DIAGNOSTIC LABORATORY,EDISON,NJ,08817,31D2140887,ehealthscores.com
P AND S MEDICAL GROUP LLC,BRIDGEWATER,NJ,08807,31D2281954,psmedgroup.com
ATLANTIC MEDICAL GROUP - DBA ACOHA-NJ,WEST ORANGE,NJ,07052,31D2133984,atlantichealth.org
PREMIER LABORATORIES,WOOD-RIDGE,NJ,07075,31D2197504,whereorg.com
AMEDIX DIAGNOSTIC,LITTLE FALLS,NJ,07424,31D2263712,amedixlaboratory.com
MANHATTAN INTERNAL MEDICINE ASSOCIATES PC,NEW YORK,NY,10016,33D0130701,manhattanmedicine.net
"JOURNEY TO WELLNESS, INC",PERTH AMBOY,NJ,08861,31D2303983,treatmentnj.net
"ORBUCH BRAND DERMATOLOGY ASSOCIATES, LLP",BETHPAGE,NY,11714,33D0156337,npino.org
ATLANTIC DERMATOLOGIC ASSOCIATES LLP,BROOKLYN,NY,11234,33D0147899,atlanticderm.com
WOODMERE MEDICAL ASSOCIATES,WOODMERE,NY,11598,33D0155533,manninghammedicalcentre.com.au
SULLIVAN INTERNAL MEDICAL GROUP PC,MONTICELLO,NY,12701,33D0164352,middletownmedical.com
MONMOUTH MEDICAL CENTER VANTAGE POINT,WEST LONG BRANCH,NJ,07764,31D2157832,rwjbh.org
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,PORT JEFFERSON STATION,NY,11776,33D0159503,ny.hospitals-usa.org
WESTCHESTER MEDICAL GROUP PLLC,WHITE PLAINS,NY,10604,33D0669333,summithealth.com
OPTUM MEDICAL CARE PC,SYOSSET,NY,11791,33D0667934,east.optum.com
OPTUM MEDICAL CARE PC,ROCKVILLE CENTRE,NY,11570,33D0671012,optum.com
WESTCHESTER MEDICAL GROUP PLLC,YONKERS,NY,10710,33D0140385,dayofdifference.org.au
HORIZON MEDICAL GROUP PC,CHESTER,NY,10918,33D0141290,horizonfamilymedical.com
LONG ISLAND PULMONARY ASSOCIATES PC,GARDEN CITY,NY,11530,33D0689665,longislandpulmonarydoctors.com
PEDIATRIC ASSOCIATES,HOLBROOK,NY,11741,33D0711068,pediatricassociates.com
PEDIATRIC ASSOCIATES OF PLAINVIEW LLP,HICKSVILLE,NY,11801,33D0963261,pedsofplainview.com
KIDS CARE PEDIATRIC ASSOCIATES PC,ELMONT,NY,11003,33D0674937,kids-care.com
SEVENTY SECOND STREET MEDICAL ASSOCIATES PC,NEW YORK,NY,10021,33D0890124,72medical.com
"NORTH SHORE HEMATOLOGY-ONCOLOGY ASSOCIATES, PC",EAST ISLIP,NY,11730,33D0926424,ny.hospitals-usa.org
GREAT NECK PEDIATRIC ASSOCIATES PC,GREAT NECK,NY,11023,33D0143291,greatneckpeds.com
BUFFALO MEDICAL GROUP,WILLIAMSVILLE,NY,14221,33D0950892,buffalomedicalgroup.com
WOMEN'S WELLNESS PLACE PC,SYRACUSE,NY,13210,33D0906328,thewomenswellnessplace.com
ENDO ASSOCIATES OF STATEN ISLAND,STATEN ISLAND,NY,10306,33D0897210,vitadox.com
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES,BRONX,NY,10469,33D0906022,nshoa.com
ATLANTIC DERMATOLOGIC ASSOCIATES LLP,LYNBROOK,NY,11563,33D0948973,atlanticderm.com
NY CARDIOLOGY ASSOCIATES PC,NEW YORK,NY,10065,33D0886395,newyorkcardiologyassoc.com
"DIGESTIVE HEALTHCARE ASSOCIATES, PC",GREAT NECK,NY,11023,33D0868204,digestivehealthcareassociates.com
BUFFALO MEDICAL GROUP PC,ORCHARD PARK,NY,14127,33D0954485,buffalomedicalgroup.com
"PEDIATRIC ASSOCIATES OF NYC, PC",BROOKLYN,NY,11238,33D0967649,pediatricassociatesnyc.com
WESTCHESTER MEDICAL GROUP PLLC,RYE,NY,10580,33D0994912,summithealth.com
INNA GORDIN MEDICAL PC,BROOKLYN,NY,11223,33D0999154,doctorgordin.com
LYUDMILA SVERKUNOVA MEDICAL PC,BROOKLYN,NY,11229,33D1049273,2findlocal.com
LIFE LONG MEDICAL PC,BROOKLYN,NY,11229,33D1004384,lifelongmedical.org
WESTCHESTER MEDICAL GROUP PLLC,NEW ROCHELLE,NY,10801,33D1001304,dayofdifference.org.au
BEST WOMENS MEDICAL CARE PC,BROOKLYN,NY,11235,33D1017139,brooklynabortionclinic.nyc
KAKOSSIAN MEDICAL WOMAN CARE PC,BROOKLYN,NY,11235,33D0994451,obgyncosmetic.com
BB MEDICAL & DERMATOLOGY INC PC,KINGSTON,NY,12401,33D1013783,everydayhealth.care
BRENTWOOD PEDIATRIC & ADOLESCENT ASSOCIATES PC,BAY SHORE,NY,11706,33D1061157,brentwoodpediatricsny.com
KOFMAN MEDICAL SERVICES PC,BROOKLYN,NY,11229,33D1039705,dayofdifference.org.au
OPTUM MEDICAL CARE PC,SYOSSET,NY,11791,33D2008856,east.optum.com
URGENT ONE MEDICAL CARE PC,CEDARHURST,NY,11516,33D1054884,whereorg.com
I K MEDICAL PC,BROOKLYN,NY,11209,33D0958869,
EDWARD CONDON MEDICAL PC,COMMACK,NY,11725,33D1087089,condonmedical.com
LONG ISLAND QUEENS MEDICAL ASSOCIATES PC,MINEOLA,NY,11501,33D1091586,conciergemedicaldirectory.com
NEW YORK ANESTHESIOLOGY MEDICAL SPECIALTIES,NORTH SYRACUSE,NY,13212,33D1084608,newyork-company.com
GASTROENTEROLOGY ASSOCIATES OF SUFFOLK PC,SMITHTOWN,NY,11787,33D1099573,gastroofsuffolk.com
MAZE LABORATORIES,NEW YORK,NY,10017,33D2013580,mazelabs.com
DR YIO MEDICAL SERVICE PC,FLUSHING,NY,11354,33D1099029,dryio.com
"V ALEKSANDROVICH MEDICAL, PC",BROOKLYN,NY,11224,33D1048600,aleksandrovichmd.com
AGI MEDICAL PLLC,BROOKLYN,NY,11220,33D2008858,agimedpc.com
MIDDLETOWN MEDICAL PC,CIRCLEVILLE,NY,10919,33D2005147,middletownmedical.com
"NY MEDICAL SKIN SOLUTIONS, PLLC",NEW YORK,NY,10016,33D1089124,skincarenyc.com
CTU MEDICAL PC,BROOKLYN,NY,11220,33D2018482,connect.medicalnewstoday.com
WESTERN NEW YORK MEDICAL PC,AMHERST,NY,14226,33D2002223,wnymedical.com
"ADVANCED SOUTHERN WESTCHESTER MEDICAL, PC",YONKERS,NY,10701,33D2036797,advancedurologywestchester.com
OPTUM MEDICAL CARE PC,LAKE SUCCESS,NY,11042,33D2048212,east.optum.com
PREMIER MEDICAL GROUP OF THE HUDSON VALLEY PC,POUGHKEEPSIE,NY,12601,33D2113820,premiermedicalhv.com
NEW YORK MEDICAL SCIENCES PC,NEW YORK,NY,10019,33D2104121,nymamed.com
WESTCHESTER MEDICAL GROUP PLLC,YONKERS,NY,10701,33D2127860,dayofdifference.org.au
MANHATTAN PEDIATRIC ASSOCIATES,BROOKLYN,NY,11220,33D2063831,manhattan-pediatrics.com
NORTH SHORE HEMATOLOGY-ONCOLOGY ASSOCIATES PC,BABYLON,NY,11702,33D2101355,babylonbeacon.com
NEW YORK PROFESSIONAL MEDICAL SERVICES LLC,BROOKLYN,NY,11214,33D2100316,dayofdifference.org.au
"INTEGRATED MEDICAL PROFESSIONALS, PLLC",FARMINGDALE,NY,11735,33D2109963,imppllc.com
MANHATTAN PEDIATRIC ASSOCIATES PC,ELMHURST,NY,11373,33D2111572,manhattan-pediatrics.com
MAIDEN LANE MEDICAL PLLCR,NEW YORK,NY,10038,33D2046630,maidenlanemedical.com
MERRICK MEDICAL CARE PLLC,MERRICK,NY,11566,33D2073527,dayofdifference.org.au
FNA MEDICAL DIAGNOSTICS PLLC,WEST HARRISON,NY,10604,33D2071407,
SOOD MEDICAL LLC,ARDSLEY,NY,10502,33D2146127,soodmedical.com
WESTCHESTER MEDICAL GROUP PLLC,PURCHASE,NY,10577,33D2132521,summithealth.com
ADVANCED MEDICAL OF GRAND CENTRAL PC,BROOKLYN,NY,11229,33D2152586,medicarelist.com
BRAIN AND SPINE MEDICAL SERVICES PLLC,WILLIAMSVILLE,NY,14221,33D2168229,w9ein.com
BUSHWICK PROFESSIONAL MEDICAL SERVICES OF NEW YORK,BROOKLYN,NY,11207,33D2174876,brooklyn-physicaltherapy.com
NORTH SHORE HEMATOLOGY-ONCOLOGY ASSOCIATES PC,LONG ISLAND CITY,NY,11102,33D2164668,ny.hospitals-usa.org
MIDDLETOWN MEDICAL PC,MIDDLETOWN,NY,10940,33D2182677,middletownmedical.com
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,ELMHURST,NY,11373,33D2175048,
EMPIRE MEDICAL OFFICE PC,NEW YORK,NY,10016,33D2189533,empiremedicalpc.com
GREENBERG MEDICAL SERVICES PC,WOODBURY,NY,11797,33D2198228,greenbergcosmeticsurgery.com
JAMAICA QUEENS PROFESSIONAL MEDICAL SERVICES,JAMAICA,NY,11432,33D2157731,queenspromed.com
"NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES, PC",WADING RIVER,NY,11792,33D2186869,northshoreoncology.com
REPRODUCTIVE MEDICINE ASSOCIATES OF NEW YORK,BROOKLYN,NY,11201,33D2046784,rmany.com
CORONA MEDICAL PC,GREAT NECK,NY,11023,33D2210935,newyork-company.com
PRIORITY PRIVATE MEDICAL CARE PC,WATER MILL,NY,11976,33D2209975,patientprioritymedical.com
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,FOREST HILLS,NY,11375,33D2221238,
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,NEW YORK,NY,10128,33D2228385,ny.hospitals-usa.org
PRIORITY PRIVATE MEDICAL CARE PC,NEW YORK,NY,10021,33D2223093,patientprioritymedical.com
MINGXUE YANG MEDICAL PC,NEW YORK,NY,10017,33D2276962,allcarefertility.com
"PRIORITY PRIVATE MEDICAL CARE, PC",NEW YORK,NY,10010,33D2283702,prnewswire.com
"PRIORITY PRIVATE MEDICAL CARE, PC",NEW YORK,NY,10001,33D2291511,
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES,BROOKLYN,NY,11201,33D2266654,nshoa.com
JOSHUA BERKOWITZ MD MEDICAL PC,MANHASSET,NY,11030,33D2271534,npi-lookup.org
FOREST HILLS MEDICAL SERVICES PC,NEW YORK,NY,10022,33D2313749,carecredit.com
"JRR MEDICAL, PC",NEW YORK,NY,10010,33D2327152,
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,BROOKLYN,NY,11207,33D2231442,ny.hospitals-usa.org
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,LAKE RONKONKOMA,NY,11779,33D2231456,ny.hospitals-usa.org
"CENTURY MEDICAL AND DENTAL CENTER, INC",BROOKLYN,NY,11223,33D2319880,centurymedicaldental.com
BUFFALO MEDICAL GROUP,ORCHARD PARK,NY,14127,33D2307570,buffalomedicalgroup.com
NORTH SHORE HEMATOLOGY AND ONCOLOGY ASSOCIATES PC,STATEN ISLAND,NY,10314,33D2321381,nshoa.com
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,STATEN ISLAND,NY,10301,33D2238572,nshoa.com
WETCHLER MEDICAL PC,WOODBURY,NY,11797,33D2313732,lakesideconciergemed.com
OPTUM MEDICAL CARE PC,PORT JEFFERSON STATION,NY,11776,33D2323914,east.optum.com
COMMUNITY MEDICAL & DENTAL CARE INC,SUFFERN,NY,10901,33D2325614,cmadc.com
GENEVA MEDICAL CAMPUS,GENEVA,NY,14456,33D2321484,rochesterregional.org
WASHINGTON HEIGHTS FAMILY HEALTH NP PLLC,BRONX,NY,10453,33D2326196,nyp.org
OPEN DOOR FAMILY MEDICAL CENTER - CHURCH ST,OSSINING,NY,10562,33D2318259,opendoormedical.org
EAST LIBERTY FAMILY HEALTH CARE CENTER,PITTSBURGH,PA,15206,39D0177137,elfhcc.com
SOUTHWEST MEDICAL CENTER,BENTLEYVILLE,PA,15314,39D0179861,patientportal.swmedcenter.com
FULTON COUNTY MEDICAL CENTER,MCCONNELLSBURG,PA,17233,39D0187054,fcmcpa.org
LUZATO MEDICAL GROUP PC,NEW YORK,NY,10017,33D2324334,luzatomedicalgroup.com
EAST SIDE ONCOLOGY ASSOCIATES PLLC,NEW YORK,NY,10004,33D2332274,oncologynewyork.com
METABOLIC DISEASE ASSOCIATES INC,ERIE,PA,16501,39D0184183,metabolicdiseaseassociates.com
UR MEDICINE GENDER WELLNESS - OBSTETRICS AND,ROCHESTER,NY,14620,33D2328246,urmc.rochester.edu
CANCER CARE ASSOCIATES OF YORK,YORK,PA,17403,39D0187805,cancercareyork.com
FULTON COUNTY MEDICAL CENTER,MCCONNELLSBURG,PA,17233,39D0690451,fcmcpa.org
ADVANCED DERMATOLOGY ASSOCIATES LTD,ALLENTOWN,PA,18103,39D0191111,adaltd.com
AHAVA MEDICAL AND REHABILITATION CENTER LLC,BROOKLYN,NY,11210,33D2328066,ahavamedical.com
DERMATOLOGY ASSOCIATES,GETTYSBURG,PA,17325,39D0187270,dermyork.com
DERMATOLOGY ASSOCIATES OF YORK INC,YORK,PA,17402,39D0678072,dermyork.com
MULTIVIZ MEDICAL SERVICES PC DBA OCEAN HILL,BROOKLYN,NY,11233,33D2327405,multivizhealth.com
"YARDLEY DERMATOLOGY ASSOCIATES, PC",YARDLEY,PA,19067,39D0887030,yardleyderm.com
GEISINGER MEDICAL CENTER CANCER CENTER HAZLETON,HAZLETON,PA,18201,39D0191388,locations.geisinger.org
JEFFERSON DERMATOLOGY ASSOCIATES,PHILADELPHIA,PA,19107,39D0696343,
AESTHETIC DERMATOLOGY ASSOCIATES PC,MEDIA,PA,19063,39D0885383,adaderm.com
GENETIC DIAGNOSTIC LABORATORY,PHILADELPHIA,PA,19104,39D0893887,genetics.med.upenn.edu
CARDIOLOGY ASSOCIATES OF ALTOONA LLP,ALTOONA,PA,16601,39D0914292,cardiologyaltoona.com
CONSULTANTS IN MEDICAL ONCOLOGY & HEMATOLOGY,NEWTOWN SQUARE,PA,19073,39D0947663,crozerhealth.org
OB/GYN ASSOCIATES OF ERIE,ERIE,PA,16507,39D0679874,obgynoferie.com
VITA MEDICAL ASSOCIATES PC,BETHLEHEM,PA,18015,39D0950912,vitamedicalassociates.com
GEISINGER CLINIC DBA GEISINGER MEDICAL GROUP,STATE COLLEGE,PA,16801,39D1021114,locations.geisinger.org
"INFECTIOUS DISEASE LABORATORIES, UNIV OF PITTS",PITTSBURGH,PA,15213,39D1010503,dom.pitt.edu
AZIZKHAN INTERNAL MEDICINE ASSOCIATES,CAMP HILL,PA,17011,39D0978140,azizkhaninternalmedicine.com
CONSULTANTS IN MEDICAL ONCOLOGY & HEMATOLOGY,GLEN MILLS,PA,19342,39D2036126,cmoh.org
"AESTHETIC DERMATOLOGY ASSOCIATES, PC -PAOLI OFFICE",PAOLI,PA,19301,39D2142589,adaderm.com
PSH HOLY SPIRIT MEDICAL CTR POCT,CAMP HILL,PA,17011,39D2151185,pennstatehealth.org
MOUNT NITTANY MEDICAL CENTER,STATE COLLEGE,PA,16803,39D2334736,mountnittany.org
BRYN MAWR MEDICAL SPECIALISTS ASSOCIATION,WYNNEWOOD,PA,19096,39D1040519,bmmsa.com
"PITTSBURGH GASTROENTEROLOGY ASSOCIATES, LTD",PITTSBURGH,PA,15241,39D2067596,pghgastro.com
REGIONAL ARTHRITIS & RHEUMATOLOGY ASSOCIATES,HERMITAGE,PA,16148,39D2161279,raraclinic.com
INDIANA REGIONAL MEDICAL CENTER,INDIANA,PA,15701,39D2167130,indianarmc.org
GREENTREE MEDICAL CENTER,PITTSBURGH,PA,15220,39D2033974,phhealthcare.org
LABORATORY ASSOCIATES OF ERIE LLC,ERIE,PA,16507,39D2135920,associatedclinicallabs.com
PSH HAMPDEN MEDICAL CENTER POCT,ENOLA,PA,17025,39D2228255,pennstatehealth.org
GASTROENTEROLOGY ASSOCIATES LTD,ALLENTOWN,PA,18104,39D0657489,gastroenterologyassociatesltd.com
